torch.Size([14031, 5, 64, 32])
torch.Size([4677, 5, 64, 32])
torch.Size([4678, 5, 64, 32])
Shape: (5, 144, 72)
Epoch: 83, Train Loss = 0.13, Train Recon Loss = 0.13, Train Masked Recon Loss = 0.13, Valid loss = 0.18, Valid Recon Loss = 0.16, Valid Masked Recon Loss = 0.21, lr = 0.00100
Epoch: 84, Train Loss = 0.13, Train Recon Loss = 0.13, Train Masked Recon Loss = 0.13, Valid loss = 0.18, Valid Recon Loss = 0.16, Valid Masked Recon Loss = 0.20, lr = 0.00100
Epoch: 85, Train Loss = 0.13, Train Recon Loss = 0.13, Train Masked Recon Loss = 0.13, Valid loss = 0.18, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.20, lr = 0.00100
Epoch: 86, Train Loss = 0.13, Train Recon Loss = 0.13, Train Masked Recon Loss = 0.13, Valid loss = 0.18, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.20, lr = 0.00100
Epoch: 87, Train Loss = 0.13, Train Recon Loss = 0.13, Train Masked Recon Loss = 0.13, Valid loss = 0.18, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.20, lr = 0.00100
Epoch: 88, Train Loss = 0.13, Train Recon Loss = 0.13, Train Masked Recon Loss = 0.13, Valid loss = 0.18, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.20, lr = 0.00100
Epoch: 89, Train Loss = 0.13, Train Recon Loss = 0.13, Train Masked Recon Loss = 0.13, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.19, lr = 0.00100
Epoch: 90, Train Loss = 0.13, Train Recon Loss = 0.13, Train Masked Recon Loss = 0.13, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.20, lr = 0.00100
Epoch: 91, Train Loss = 0.13, Train Recon Loss = 0.13, Train Masked Recon Loss = 0.13, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.19, lr = 0.00100
Epoch: 92, Train Loss = 0.13, Train Recon Loss = 0.13, Train Masked Recon Loss = 0.13, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.19, lr = 0.00100
Epoch: 93, Train Loss = 0.13, Train Recon Loss = 0.13, Train Masked Recon Loss = 0.13, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.19, lr = 0.00100
Epoch: 94, Train Loss = 0.13, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.13, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.19, lr = 0.00100
Epoch: 95, Train Loss = 0.13, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.13, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.19, lr = 0.00100
Epoch: 96, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.13, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.20, lr = 0.00100
Epoch: 97, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.13, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.19, lr = 0.00100
Epoch: 98, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.13, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.19, lr = 0.00100
Epoch: 99, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.12, Valid loss = 0.18, Valid Recon Loss = 0.16, Valid Masked Recon Loss = 0.20, lr = 0.00100
Epoch: 100, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.12, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.19, lr = 0.00100
Epoch: 101, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.12, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.19, lr = 0.00100
Epoch: 102, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.12, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.19, lr = 0.00100
